ensembl_gene_id	Score
1	ENSG00000003393	0.000534684089380819
2	ENSG00000067715	0.000115918027583094
3	ENSG00000081189	0.000608362279394408
4	ENSG00000094631	7.91457029755392e-06
5	ENSG00000115839	0.000180430419447006
6	ENSG00000117600	1.39739973098573e-05
7	ENSG00000120251	0.00274112660687871
8	ENSG00000125675	2.98039212814873e-05
9	ENSG00000137766	1.35740119685703e-05
10	ENSG00000150394	0.000826218347312149
11	ENSG00000152578	0.000198771325199161
12	ENSG00000152822	4.3976331118442e-06
13	ENSG00000157680	0.000620559348930729
14	ENSG00000161509	5.08504168696143e-06
15	ENSG00000164418	0.00136472339189931
16	ENSG00000164588	0.000291590897141217
17	ENSG00000168959	2.28227806303963e-05
18	ENSG00000179915	0.000906155904569552
19	ENSG00000184381	6.67644534411804e-05
20	ENSG00000188603	2.29554481435093e-05
21	ENSG00000188906	4.57773916998097e-05
22	ENSG00000198785	6.55558963835651e-06
