ensembl_gene_id	Score
1	ENSG00000004779	0.000191176843840595
2	ENSG00000005882	2.13692874930003e-05
3	ENSG00000010256	0.000218428327649728
4	ENSG00000067225	0.00562724313312882
5	ENSG00000069424	1.30843290210423e-05
6	ENSG00000071553	0.000362718696792342
7	ENSG00000075415	0.000775191099706143
8	ENSG00000076685	8.5519576355863e-06
9	ENSG00000101365	2.69661641701866e-05
10	ENSG00000105409	0.000147888842212899
11	ENSG00000110955	0.000110061116867453
12	ENSG00000111640	1.96912267134684e-05
13	ENSG00000116337	1.89124187424585e-05
14	ENSG00000121905	8.51708913229717e-05
15	ENSG00000130770	3.39481576714626e-06
16	ENSG00000131473	0.000745326466165014
17	ENSG00000132341	0.000269543654633101
18	ENSG00000136463	0.000215838842362094
19	ENSG00000146701	0.00316979754165989
20	ENSG00000147224	0.000107556503541011
21	ENSG00000149925	0.00312820428499434
22	ENSG00000151366	5.9070694573652e-05
23	ENSG00000152556	0.000330750791206434
24	ENSG00000154518	7.26938276902204e-05
25	ENSG00000156411	6.00456141333731e-05
26	ENSG00000156515	0.0016012732370157
27	ENSG00000159199	6.00456141333731e-05
28	ENSG00000159720	0.000436122955011072
29	ENSG00000165280	0.00272304633855007
30	ENSG00000165283	0.000146156302487776
31	ENSG00000169021	0.0028122614065697
32	ENSG00000171314	0.0200124790774875
33	ENSG00000176410	1.44555214630908e-05
34	ENSG00000178685	0.000185511950250765
35	ENSG00000179958	1.25894516101773e-05
36	ENSG00000181929	0.000107475703401052
37	ENSG00000185883	3.32386832594651e-05
38	ENSG00000187446	4.84988203115289e-05
39	ENSG00000196368	5.9070694573652e-05
40	ENSG00000197296	1.23567225398999e-05
41	ENSG00000213760	0.000107475703401052
42	ENSG00000226784	0.000283927709110334
43	ENSG00000255154	0.000107475703401052
