ensembl_gene_id	Score
1	ENSG00000096092	0.000413968754643163
2	ENSG00000100216	4.01560568913706e-05
3	ENSG00000104765	5.22215793864364e-05
4	ENSG00000105185	1.31751497648207e-05
5	ENSG00000126953	0.000188748503432694
6	ENSG00000141385	2.74148991042245e-05
7	ENSG00000151729	0.000268496088209117
8	ENSG00000154174	0.0029744451118434
9	ENSG00000164209	0.000233329498472812
10	ENSG00000165637	0.00058770340378131
11	ENSG00000165678	0.00234575479978466
12	ENSG00000165943	0.00261842395190952
13	ENSG00000173726	1.58412146545314e-05
14	ENSG00000175768	6.59426702987374e-05
15	ENSG00000176171	0.000301615547853491
16	ENSG00000177034	0.000120320343260412
17	ENSG00000196072	0.00126829907229996
