ensembl_gene_id	Score
1	ENSG00000048544	0.000107887128810026
2	ENSG00000061794	0.000895546954099344
3	ENSG00000106105	0.000106317819994104
4	ENSG00000108561	4.51321930146604e-05
5	ENSG00000112996	0.000919282650457239
6	ENSG00000131368	0.000160636033085695
7	ENSG00000132313	0.000100751395705349
8	ENSG00000135900	2.58515698920328e-05
9	ENSG00000136522	2.20437201765611e-06
10	ENSG00000138095	0.000161511616668726
11	ENSG00000139131	0.00212476924214385
12	ENSG00000143436	2.49206275062934e-05
13	ENSG00000158042	0.000120961219370736
14	ENSG00000163319	7.23192201645726e-05
15	ENSG00000168827	9.26202018002481e-05
16	ENSG00000174173	0.000192794554756151
17	ENSG00000181610	1.08576092850649e-05
18	ENSG00000182768	2.4979117031594e-05
19	ENSG00000185414	5.57613552142372e-05
20	ENSG00000197345	5.50880305047343e-06
21	ENSG00000198015	0.000167029055390845
22	ENSG00000239789	6.61395950017644e-05
23	ENSG00000266472	5.36768202291971e-05
