hgnc_symbol	gene_biotype	ensembl_gene_id	kegg	GO_category	Description	Cluster
TMEM176A	protein_coding	ENSG00000002933	No_kegg	NA	NA	AD_cluster2
ALS2	protein_coding	ENSG00000003393	No_kegg	Neurogenesis,Synapse signaling	axon guidance,cell morphogenesis involved in neuron differentiation,neuron projection guidance,synaptic transmission, glutamatergic	AD_cluster2
PLXND1	protein_coding	ENSG00000004399	No_kegg	Neurogenesis	axon guidance,cell morphogenesis involved in neuron differentiation,neuron projection guidance	AD_cluster2
KDM1A	protein_coding	ENSG00000004487	No_kegg	NA	NA	AD_cluster2
VPS50	protein_coding	ENSG00000004766	No_kegg	NA	NA	AD_cluster2
DVL2	protein_coding	ENSG00000004975	kegg	NA	NA	AD_cluster2
SKAP2	protein_coding	ENSG00000005020	No_kegg	NA	NA	AD_cluster2
MYCBP2	protein_coding	ENSG00000005810	No_kegg	Neurogenesis	axon guidance,cell morphogenesis involved in neuron differentiation,neuron projection guidance	AD_cluster2
ITGAL	protein_coding	ENSG00000005844	No_kegg	NA	NA	AD_cluster2
OSBPL7	protein_coding	ENSG00000006025	No_kegg	NA	NA	AD_cluster2
AGK	protein_coding	ENSG00000006530	No_kegg	NA	NA	AD_cluster2
VPS41	protein_coding	ENSG00000006715	No_kegg	NA	NA	AD_cluster2
RHBDF1	protein_coding	ENSG00000007384	No_kegg	NA	NA	AD_cluster2
CDK11A	protein_coding	ENSG00000008128	No_kegg	NA	NA	AD_cluster2
NADK	protein_coding	ENSG00000008130	No_kegg	NA	NA	AD_cluster2
ADAM22	protein_coding	ENSG00000008277	No_kegg	NA	NA	AD_cluster2
NFIX	protein_coding	ENSG00000008441	No_kegg	NA	NA	AD_cluster2
VTA1	protein_coding	ENSG00000009844	No_kegg	NA	NA	AD_cluster2
RANBP9	protein_coding	ENSG00000010017	No_kegg	NA	NA	AD_cluster2
LRRC23	protein_coding	ENSG00000010626	No_kegg	NA	NA	AD_cluster2
HIVEP2	protein_coding	ENSG00000010818	No_kegg	NA	NA	AD_cluster2
PTBP1	protein_coding	ENSG00000011304	No_kegg	NA	NA	AD_cluster2
PLAUR	protein_coding	ENSG00000011422	No_kegg	NA	NA	AD_cluster2
RABGAP1	protein_coding	ENSG00000011454	No_kegg	NA	NA	AD_cluster2
SLC25A39	protein_coding	ENSG00000013306	No_kegg	NA	NA	AD_cluster2
YAF2	protein_coding	ENSG00000015153	No_kegg	NA	NA	AD_cluster2
RGPD5	protein_coding	ENSG00000015568	No_kegg	NA	NA	AD_cluster2
CHDH	protein_coding	ENSG00000016391	No_kegg	NA	NA	AD_cluster2
ADGRA2	protein_coding	ENSG00000020181	No_kegg	NA	NA	AD_cluster2
PLEKHB1	protein_coding	ENSG00000021300	No_kegg	NA	NA	AD_cluster2
NRXN3	protein_coding	ENSG00000021645	No_kegg	Neurogenesis	axon guidance,cell morphogenesis involved in neuron differentiation,neuron projection guidance	AD_cluster2
EHD2	protein_coding	ENSG00000024422	No_kegg	NA	NA	AD_cluster2
HSF2	protein_coding	ENSG00000025156	No_kegg	NA	NA	AD_cluster2
NR1H3	protein_coding	ENSG00000025434	No_kegg	NA	NA	AD_cluster2
BRD9	protein_coding	ENSG00000028310	No_kegg	NA	NA	AD_cluster2
LRRC7	protein_coding	ENSG00000033122	No_kegg	NA	NA	AD_cluster2
STAU2	protein_coding	ENSG00000040341	No_kegg	Neurogenesis	axon guidance,cell morphogenesis involved in neuron differentiation,neuron projection guidance	AD_cluster2
CTNS	protein_coding	ENSG00000040531	No_kegg	NA	NA	AD_cluster2
